index,true_6h,pred_6h,persist_6h,abs_err
3578,2.1189332008361816,4.720580101013184,4.374316692352295,2.601646900177002
3577,2.1413843631744385,4.7031378746032715,4.266349792480469,2.561753511428833
3576,2.190831422805786,4.676368713378906,4.180431365966797,2.48553729057312
3579,2.093928575515747,4.3524298667907715,4.35656213760376,2.2585012912750244
11302,3.596611738204956,1.8334696292877197,1.6132184267044067,1.7631421089172363
