seed,noise,PE_45min,PE_6h,PE_12h
50,0.0,0.9834644794464111,0.9096707105636597,0.8629920482635498
50,0.5,0.9753812551498413,0.8914514780044556,0.8378454446792603
50,1.0,0.9532073140144348,0.838629961013794,0.7657220363616943
50,2.0,0.8070053458213806,0.6142392158508301,0.5131406188011169
51,0.0,0.9799275994300842,0.9038565158843994,0.8635802865028381
51,0.5,0.9722862839698792,0.8854925036430359,0.8303790092468262
51,1.0,0.9460636377334595,0.8073623180389404,0.711438775062561
51,2.0,0.7783944010734558,0.5469337701797485,0.39782899618148804
52,0.0,0.9838117957115173,0.9082486033439636,0.8669926524162292
52,0.5,0.9699710607528687,0.8876797556877136,0.8439540863037109
52,1.0,0.926889181137085,0.8204050064086914,0.7676504254341125
52,2.0,0.7772549986839294,0.6127300262451172,0.49693989753723145
53,0.0,0.9842288494110107,0.9143484830856323,0.8635933995246887
53,0.5,0.9661418795585632,0.8897973299026489,0.8388756513595581
53,1.0,0.9149578213691711,0.8136203289031982,0.756941556930542
53,2.0,0.7554485201835632,0.6274114847183228,0.5377987623214722
54,0.0,0.979446291923523,0.9070660471916199,0.8708527684211731
54,0.5,0.9615387916564941,0.8902081251144409,0.8463904857635498
54,1.0,0.9168944954872131,0.8362083435058594,0.7624458074569702
54,2.0,0.7554879188537598,0.6833686828613281,0.5550978779792786
55,0.0,0.9841959476470947,0.910740077495575,0.8592849969863892
55,0.5,0.9761919379234314,0.895269513130188,0.8405195474624634
55,1.0,0.9512403607368469,0.8305819034576416,0.7664248943328857
55,2.0,0.8164252042770386,0.6119452714920044,0.5074505805969238
56,0.0,0.981176495552063,0.904619574546814,0.8536635041236877
56,0.5,0.9703909754753113,0.8857521414756775,0.8388326168060303
56,1.0,0.9339186549186707,0.8088122606277466,0.7725905179977417
56,2.0,0.7712057828903198,0.5669947862625122,0.5588140487670898
