name,seed,zero_PE_1h,zero_PE_6h,zero_PE_12h,zero_PE_pers_1h,zero_PE_st_6h,ft_PE_1h,ft_PE_6h,ft_PE_12h,ft_PE_pers_1h,ft_PE_st_6h,gain_PE_6h,gain_PE_12h
storm_bz,42,0.965400755405426,0.760108232498169,0.5794998407363892,0.1386696696281433,0.2488042712211609,0.9691981077194214,0.8448008298873901,0.7747861742973328,0.2332027554512024,0.05935657024383545,0.08469259738922119,0.1952863335609436
storm_bz,43,0.9635273218154907,0.7103460431098938,0.5335381031036377,0.09203040599822998,0.20317131280899048,0.9677650928497314,0.8067494630813599,0.7264394164085388,0.19752848148345947,-0.17576801776885986,0.09640341997146606,0.19290131330490112
storm_bz,44,0.9641683101654053,0.7499728202819824,0.577524721622467,0.10798805952072144,0.29359763860702515,0.967356264591217,0.8324548602104187,0.74806147813797,0.18734991550445557,0.20134317874908447,0.08248203992843628,0.17053675651550293
storm_bz,45,0.9645062685012817,0.7711079716682434,0.608725368976593,0.11640173196792603,0.4261627793312073,0.9699040055274963,0.8672393560409546,0.7869991660118103,0.2507745623588562,0.6340508460998535,0.09613138437271118,0.17827379703521729
storm_bz,46,0.962835431098938,0.7173725366592407,0.5811641216278076,0.074806809425354,0.48087573051452637,0.9691921472549438,0.8556837439537048,0.7896391153335571,0.23305386304855347,0.5313079357147217,0.1383112072944641,0.2084749937057495
storm_bz,47,0.9624062776565552,0.7059564590454102,0.5154597759246826,0.06412321329116821,0.3475531339645386,0.9678007364273071,0.8330721855163574,0.756454348564148,0.19841605424880981,0.1254766583442688,0.12711572647094727,0.24099457263946533
storm_bz,48,0.9641602039337158,0.7220832705497742,0.5477250218391418,0.10778611898422241,-0.043085694313049316,0.9668774008750916,0.8127247095108032,0.7261261343955994,0.17542999982833862,-0.1113821268081665,0.09064143896102905,0.17840111255645752
storm_bz,49,0.9649519920349121,0.7410744428634644,0.5862959623336792,0.12749779224395752,0.34274524450302124,0.9704390168190002,0.8568588495254517,0.7798162698745728,0.26409417390823364,0.4258418679237366,0.1157844066619873,0.19352030754089355
storm_bz,50,0.9626899361610413,0.7421945333480835,0.5711079239845276,0.07118493318557739,0.27072227001190186,0.966691255569458,0.8225618600845337,0.7516851425170898,0.17079514265060425,0.05405932664871216,0.0803673267364502,0.18057721853256226
storm_bz,51,0.9633740782737732,0.7482938766479492,0.5836033821105957,0.08821618556976318,0.5236563682556152,0.9698758125305176,0.8552987575531006,0.7514273524284363,0.2500736713409424,0.521112859249115,0.10700488090515137,0.16782397031784058
storm_bz,52,0.9648349285125732,0.7567114233970642,0.5971258878707886,0.12458252906799316,0.42776185274124146,0.9691255688667297,0.839211106300354,0.7578291296958923,0.23139595985412598,0.5746874809265137,0.0824996829032898,0.16070324182510376
storm_bz,53,0.9636570811271667,0.7469075918197632,0.5732184648513794,0.09526050090789795,0.4312211275100708,0.967409074306488,0.8475137948989868,0.7780491709709167,0.18866515159606934,0.3412953019142151,0.10060620307922363,0.20483070611953735
storm_bz,54,0.9635805487632751,0.7243643999099731,0.4935568571090698,0.09335535764694214,0.4393368363380432,0.9669275283813477,0.8508533835411072,0.7571671009063721,0.1766766905784607,0.43906331062316895,0.12648898363113403,0.26361024379730225
storm_bz,55,0.963783323764801,0.7636798620223999,0.6047950983047485,0.09840381145477295,0.46433496475219727,0.9687727093696594,0.8550890684127808,0.7826143503189087,0.2226114273071289,0.38526761531829834,0.09140920639038086,0.17781925201416016
storm_bz,56,0.9638231992721558,0.7343419790267944,0.558488130569458,0.09939688444137573,0.20418977737426758,0.9684407114982605,0.8396585583686829,0.7649139165878296,0.21434736251831055,0.26854562759399414,0.10531657934188843,0.20642578601837158
transformer_matched,42,0.9459303021430969,0.8026378154754639,0.7199839353561401,-0.34603869915008545,0.532534122467041,0.9664514660835266,0.8801075220108032,0.8261113166809082,0.16482573747634888,0.6918454766273499,0.07746970653533936,0.10612738132476807
transformer_matched,43,0.9394906163215637,0.7949466109275818,0.7477644681930542,-0.5063505172729492,0.6221082806587219,0.9646629095077515,0.8736964464187622,0.838965654373169,0.12030088901519775,0.5152145624160767,0.07874983549118042,0.09120118618011475
transformer_matched,44,0.9378040432929993,0.8015702962875366,0.723580539226532,-0.5483375787734985,0.5436438918113708,0.9667306542396545,0.8792989253997803,0.8341536521911621,0.1717759370803833,0.5876673460006714,0.07772862911224365,0.11057311296463013
transformer_matched,45,0.9359397888183594,0.7906261086463928,0.7238155603408813,-0.59474778175354,0.4082791209220886,0.9653128385543823,0.8712077140808105,0.824321985244751,0.136479914188385,0.5282696485519409,0.08058160543441772,0.10050642490386963
transformer_matched,46,0.9234750270843506,0.7951899170875549,0.7260666489601135,-0.9050513505935669,0.6268367767333984,0.9648692011833191,0.8810130953788757,0.8429316282272339,0.12543612718582153,0.6519810557365417,0.0858231782913208,0.11686497926712036
transformer_matched,47,0.9365633726119995,0.7925871014595032,0.7190243005752563,-0.5792233943939209,0.5257952213287354,0.961685299873352,0.8737565875053406,0.8285513520240784,0.04617422819137573,0.5101959705352783,0.0811694860458374,0.10952705144882202
transformer_matched,48,0.9486103653907776,0.8135778903961182,0.7580264210700989,-0.27931904792785645,0.608444333076477,0.9655987620353699,0.8764203190803528,0.828214168548584,0.14359760284423828,0.6118555068969727,0.06284242868423462,0.07018774747848511
transformer_matched,49,0.9317509531974792,0.770573616027832,0.699117124080658,-0.699026346206665,0.4278907775878906,0.9641716480255127,0.8714182376861572,0.8135244846343994,0.10807138681411743,0.5764665007591248,0.1008446216583252,0.11440736055374146
transformer_matched,50,0.9237080216407776,0.8001437187194824,0.7379429340362549,-0.899250864982605,0.5385799407958984,0.9647427201271057,0.8830295205116272,0.8374173641204834,0.1222878098487854,0.626807689666748,0.08288580179214478,0.09947443008422852
transformer_matched,51,0.9349288940429688,0.8174197673797607,0.7788422107696533,-0.6199123859405518,0.6711698770523071,0.9663714170455933,0.887678861618042,0.8441992998123169,0.16283321380615234,0.6563128232955933,0.07025909423828125,0.06535708904266357
transformer_matched,52,0.9028103947639465,0.7849873304367065,0.7653525471687317,-1.419487476348877,0.4470821022987366,0.9651845097541809,0.873485803604126,0.8174045085906982,0.1332859992980957,0.595585823059082,0.08849847316741943,0.05205196142196655
transformer_matched,53,0.9312183856964111,0.7895874977111816,0.7466406226158142,-0.7122840881347656,0.5681794881820679,0.9693208932876587,0.8897621631622314,0.8460310101509094,0.2362595796585083,0.6692683696746826,0.1001746654510498,0.09939038753509521
transformer_matched,54,0.9312044382095337,0.7996912598609924,0.7108639478683472,-0.7126314640045166,0.47525644302368164,0.9661808013916016,0.8728812336921692,0.8196452856063843,0.15808826684951782,0.5168898105621338,0.07318997383117676,0.10878133773803711
transformer_matched,55,0.9461857676506042,0.8219982981681824,0.7397229671478271,-0.33967864513397217,0.6289955973625183,0.9683268666267395,0.876880943775177,0.8388451933860779,0.2115127444267273,0.6713157892227173,0.05488264560699463,0.09912222623825073
transformer_matched,56,0.9337431788444519,0.7790701985359192,0.7296252250671387,-0.6494308710098267,0.583976149559021,0.9652374982833862,0.8827551603317261,0.830599308013916,0.13460463285446167,0.6759883165359497,0.10368496179580688,0.10097408294677734
