seed,alpha,PE_1h,PE_6h,PE_12h,PE_pers_1h,PE_st_6h,n_storm
42,0.3,0.9837363362312317,0.9062089920043945,0.8573067784309387,0.19912421703338623,0.8162472248077393,932
43,0.3,0.9827501177787781,0.9032955765724182,0.854214608669281,0.15055906772613525,0.8177620768547058,932
44,0.3,0.9818727374076843,0.9037876129150391,0.8544522523880005,0.10735327005386353,0.8033945560455322,932
45,0.3,0.9826748967170715,0.9075881242752075,0.8672223091125488,0.14685648679733276,0.8068947792053223,932
46,0.3,0.9836496710777283,0.9034489393234253,0.8651391863822937,0.19485574960708618,0.8160532712936401,932
47,0.3,0.9845767021179199,0.9031219482421875,0.8540102243423462,0.2405058741569519,0.8126767873764038,932
48,0.3,0.9810080528259277,0.9007895588874817,0.850912868976593,0.06477570533752441,0.8174518346786499,932
49,0.3,0.9820612072944641,0.9005294442176819,0.8599646091461182,0.11663562059402466,0.8212040066719055,932
50,0.3,0.9826837778091431,0.9023251533508301,0.8496018648147583,0.14729249477386475,0.8079679608345032,932
51,0.3,0.9830520749092102,0.9031369090080261,0.8617398738861084,0.16543012857437134,0.8055098056793213,932
52,0.3,0.9776651263237,0.9063664674758911,0.8580682277679443,-0.09984207153320312,0.8233782052993774,932
53,0.3,0.9824843406677246,0.9042445421218872,0.8590785264968872,0.1374710202217102,0.8070710897445679,932
54,0.3,0.9827275276184082,0.9060682654380798,0.8590024709701538,0.14944744110107422,0.8314149975776672,932
55,0.3,0.9849379658699036,0.9059820771217346,0.8682060241699219,0.25829631090164185,0.8209968209266663,932
56,0.3,0.9845162034034729,0.9027572870254517,0.8621141314506531,0.2375260591506958,0.8293641805648804,932
