account_id,seed,model,d_model,num_layers,nhead,params,epochs,skipped_train,PE_45min,PE_6h,PE_12h
0,42,transformer_matched,128,2,4,1188739,40,False,0.9792065544984446,0.9093465378643764,0.8642490471395177
0,43,transformer_matched,128,2,4,1188739,40,False,0.9819926563811956,0.9114316638843108,0.8628368871356875
1,44,transformer_matched,128,2,4,1188739,40,False,0.9756570706422337,0.9011043351597822,0.8595528641695589
1,45,transformer_matched,128,2,4,1188739,40,False,0.9821370808474945,0.9083431132673797,0.854796425415045
2,46,transformer_matched,128,2,4,1188739,40,False,0.9749737869221431,0.8954503957384669,0.8548906495545965
2,47,transformer_matched,128,2,4,1188739,40,False,0.9821615176262471,0.9066955376579396,0.8592828979584083
3,48,transformer_matched,128,2,4,1188739,40,False,0.9813314276556224,0.9010625520938378,0.8521683377534929
3,49,transformer_matched,128,2,4,1188739,40,False,0.984303469902996,0.9102620788003493,0.8664344455724905
4,50,transformer_matched,128,2,4,1188739,40,False,0.9834644766789067,0.9096706806465928,0.8629920399387039
4,51,transformer_matched,128,2,4,1188739,40,False,0.9799275928887581,0.9038565384122991,0.8635802764796754
5,52,transformer_matched,128,2,4,1188739,40,False,0.9838117974820901,0.9082485897711213,0.8669926561086906
6,53,transformer_matched,128,2,4,1188739,40,False,0.9842288216289569,0.9143484805994386,0.8635933792756091
7,54,transformer_matched,128,2,4,1188739,40,False,0.97944626393662,0.9070660399127857,0.8708527875205522
8,55,transformer_matched,128,2,4,1188739,40,False,0.9841959491586947,0.910740096049895,0.8592850154515436
9,56,transformer_matched,128,2,4,1188739,40,False,0.9811764846428209,0.9046195681007586,0.853663510681081
