seed,noise,PE_45min,PE_6h,PE_12h
42,0.0,0.9792065620422363,0.9093465209007263,0.864249050617218
42,0.5,0.9638561606407166,0.8889811635017395,0.8427027463912964
42,1.0,0.9251565933227539,0.8325762748718262,0.7785568237304688
42,2.0,0.7829549312591553,0.642332911491394,0.5614928007125854
43,0.0,0.9819926619529724,0.9114316701889038,0.8628368973731995
43,0.5,0.971512496471405,0.8926084637641907,0.839167058467865
43,1.0,0.9392006993293762,0.8355638980865479,0.7513251900672913
43,2.0,0.7864396572113037,0.6312263011932373,0.4871034026145935
44,0.0,0.975657045841217,0.9011043310165405,0.8595528602600098
44,0.5,0.96666419506073,0.8870545625686646,0.8421332240104675
44,1.0,0.9321115612983704,0.8282349109649658,0.770176351070404
44,2.0,0.7717424035072327,0.6143769025802612,0.5349248647689819
45,0.0,0.9821370840072632,0.9083431363105774,0.8547964096069336
45,0.5,0.962843120098114,0.8898042440414429,0.837233304977417
45,1.0,0.9153665900230408,0.8332023620605469,0.7764652371406555
45,2.0,0.7520858645439148,0.618615984916687,0.5433047413825989
46,0.0,0.9749737977981567,0.8954504132270813,0.8548906445503235
46,0.5,0.9691094160079956,0.882738471031189,0.8368557095527649
46,1.0,0.9416468143463135,0.8243931531906128,0.7697879076004028
46,2.0,0.8143280744552612,0.6105676889419556,0.5450398921966553
47,0.0,0.9821615219116211,0.906695544719696,0.859282910823822
47,0.5,0.9729899168014526,0.8866771459579468,0.837263822555542
47,1.0,0.944490909576416,0.824512779712677,0.7621724605560303
47,2.0,0.8302415013313293,0.6446273326873779,0.5686353445053101
48,0.0,0.9813314080238342,0.901062548160553,0.8521683216094971
48,0.5,0.9695285558700562,0.8840288519859314,0.8347300887107849
48,1.0,0.9348966479301453,0.8290222883224487,0.7731513977050781
48,2.0,0.7954288125038147,0.602729320526123,0.5019145607948303
49,0.0,0.9843034744262695,0.9102621078491211,0.8664344549179077
49,0.5,0.970218300819397,0.889539897441864,0.8427610993385315
49,1.0,0.9234607815742493,0.8086663484573364,0.7496218681335449
49,2.0,0.7349570989608765,0.5993900299072266,0.5304445028305054
