name,seed,alpha_star,val_PE_6h,PE_1h,PE_6h,PE_12h,PE_pers_1h,PE_st_6h,n_storm
ensemble_alpha,42,0.5,0.9332507848739624,0.985244631767273,0.9070199728012085,0.8596658706665039,0.2733973264694214,0.8135852813720703,932
ensemble_alpha,43,0.4,0.9306437373161316,0.9838317632675171,0.9039904475212097,0.8555078506469727,0.20382410287857056,0.8173768520355225,932
ensemble_alpha,44,0.5,0.9363175630569458,0.9840547442436218,0.9056100249290466,0.8590710163116455,0.21480292081832886,0.8117464184761047,932
ensemble_alpha,45,0.5,0.9367837905883789,0.9847372770309448,0.9098013043403625,0.870071291923523,0.2484147548675537,0.8138843774795532,932
ensemble_alpha,46,0.5,0.9366095662117004,0.9853841066360474,0.9067041873931885,0.8687899112701416,0.2802664041519165,0.8277455568313599,932
ensemble_alpha,47,0.4,0.936608076095581,0.9853155016899109,0.904107928276062,0.8568456172943115,0.2768862843513489,0.8138641119003296,932
ensemble_alpha,48,0.5,0.9326767325401306,0.9837288856506348,0.9035478830337524,0.8547074198722839,0.19875812530517578,0.8239936232566833,932
ensemble_alpha,49,0.5,0.9373869895935059,0.9843294024467468,0.9051448702812195,0.8645127415657043,0.2283281683921814,0.828380823135376,932
ensemble_alpha,50,0.6,0.9351780414581299,0.9853682518005371,0.9066359400749207,0.8592740297317505,0.279485285282135,0.816952645778656,932
ensemble_alpha,51,0.6,0.9352830648422241,0.9857158660888672,0.9080767631530762,0.864251971244812,0.2966025471687317,0.8146540522575378,932
ensemble_alpha,52,0.4,0.9370244145393372,0.979750394821167,0.9072814583778381,0.8605543971061707,0.00284421443939209,0.8277443647384644,932
ensemble_alpha,53,0.5,0.9375715851783752,0.9845014214515686,0.9077470898628235,0.8644076585769653,0.23679786920547485,0.8148545622825623,932
ensemble_alpha,54,0.4,0.9362252950668335,0.9839062094688416,0.9070084691047668,0.8608556985855103,0.2074899673461914,0.8346359729766846,932
ensemble_alpha,55,0.6,0.9345347285270691,0.9863296151161194,0.9076921939849854,0.8684400320053101,0.3268256187438965,0.8331100940704346,932
ensemble_alpha,56,0.5,0.9360216856002808,0.9856163263320923,0.9062267541885376,0.8664266467094421,0.29170119762420654,0.8349188566207886,932
