seed,zs_45min,zs_6h,zs_12h,ft_45min,ft_6h,ft_12h
42,0.8206478357315063,0.5382528305053711,0.4343258142471313,0.8343732953071594,0.6053394079208374,0.5233084559440613
43,0.8105311989784241,0.5779397487640381,0.461733877658844,0.8317763805389404,0.609650731086731,0.5524475574493408
44,0.8158035278320312,0.561064600944519,0.3989532589912414,0.8217729926109314,0.5970460176467896,0.4549523591995239
45,0.8199204206466675,0.5582674741744995,0.4620125889778137,0.8356597423553467,0.6625708341598511,0.5998508930206299
46,0.8274881839752197,0.5592165589332581,0.4355451464653015,0.8423265814781189,0.6310645341873169,0.5822505950927734
47,0.8162046670913696,0.561133861541748,0.4229525923728943,0.8296786546707153,0.604438304901123,0.5063841342926025
48,0.8123698830604553,0.5395895838737488,0.4807497262954712,0.8408927917480469,0.6146825551986694,0.5673388242721558
49,0.8202850818634033,0.550160825252533,0.4647918939590454,0.8252753019332886,0.6089602708816528,0.5592814683914185
50,0.8217788338661194,0.5350829362869263,0.3782985210418701,0.8240102529525757,0.6374818086624146,0.5680862665176392
51,0.8114193081855774,0.5274064540863037,0.3929691910743713,0.8376201391220093,0.6077602505683899,0.5188113451004028
52,0.8115962147712708,0.5674884915351868,0.5072543025016785,0.8268919587135315,0.6678358316421509,0.6148703098297119
53,0.8157272934913635,0.5535721778869629,0.3669534921646118,0.8368585109710693,0.6334092020988464,0.5126503705978394
54,0.8249392509460449,0.5515207052230835,0.4729465246200561,0.8390361070632935,0.6367131471633911,0.5800143480300903
55,0.8191673159599304,0.5259676575660706,0.3868184685707092,0.8186264634132385,0.6349545121192932,0.5372652411460876
56,0.825985312461853,0.534841775894165,0.4423732161521911,0.8414589762687683,0.622382402420044,0.4840900301933288
