seed,noise,PE_1h,PE_6h,PE_12h
42,0.0,0.9792065620422364,0.9093465209007264,0.864249050617218
42,0.5,0.9638561606407166,0.8889811635017395,0.8427027463912964
42,1.0,0.925156593322754,0.8325762748718262,0.7785568237304688
42,2.0,0.7829549312591553,0.642332911491394,0.5614928007125854
43,0.0,0.9819926619529724,0.9114316701889038,0.8628368973731995
43,0.5,0.971512496471405,0.8926084637641907,0.839167058467865
43,1.0,0.9392006993293762,0.8355638980865479,0.7513251900672913
43,2.0,0.7864396572113037,0.6312263011932373,0.4871034026145935
44,0.0,0.975657045841217,0.9011043310165404,0.8595528602600098
44,0.5,0.96666419506073,0.8870545625686646,0.8421332240104675
44,1.0,0.9321115612983704,0.8282349109649658,0.770176351070404
44,2.0,0.7717424035072327,0.6143769025802612,0.5349248647689819
45,0.0,0.9821370840072632,0.9083431363105774,0.8547964096069336
45,0.5,0.962843120098114,0.8898042440414429,0.837233304977417
45,1.0,0.9153665900230408,0.8332023620605469,0.7764652371406555
45,2.0,0.7520858645439148,0.618615984916687,0.5433047413825989
46,0.0,0.9749737977981568,0.8954504132270813,0.8548906445503235
46,0.5,0.9691094160079956,0.882738471031189,0.8368557095527649
46,1.0,0.9416468143463136,0.8243931531906128,0.7697879076004028
46,2.0,0.8143280744552612,0.6105676889419556,0.5450398921966553
47,0.0,0.9821615219116212,0.906695544719696,0.859282910823822
47,0.5,0.9729899168014526,0.8866771459579468,0.837263822555542
47,1.0,0.944490909576416,0.824512779712677,0.7621724605560303
47,2.0,0.8302415013313293,0.6446273326873779,0.5686353445053101
48,0.0,0.9813314080238342,0.901062548160553,0.8521683216094971
48,0.5,0.9695285558700562,0.8840288519859314,0.8347300887107849
48,1.0,0.9348966479301452,0.8290222883224487,0.7731513977050781
48,2.0,0.7954288125038147,0.602729320526123,0.5019145607948303
49,0.0,0.9843034744262696,0.9102621078491212,0.8664344549179077
49,0.5,0.970218300819397,0.889539897441864,0.8427610993385315
49,1.0,0.9234607815742492,0.8086663484573364,0.7496218681335449
49,2.0,0.7349570989608765,0.5993900299072266,0.5304445028305054
50,0.0,0.9834644794464112,0.9096707105636596,0.8629920482635498
50,0.5,0.9753812551498412,0.8914514780044556,0.8378454446792603
50,1.0,0.9532073140144348,0.838629961013794,0.7657220363616943
50,2.0,0.8070053458213806,0.6142392158508301,0.5131406188011169
51,0.0,0.9799275994300842,0.9038565158843994,0.8635802865028381
51,0.5,0.9722862839698792,0.8854925036430359,0.8303790092468262
51,1.0,0.9460636377334596,0.8073623180389404,0.711438775062561
51,2.0,0.7783944010734558,0.5469337701797485,0.397828996181488
52,0.0,0.9838117957115172,0.9082486033439636,0.8669926524162292
52,0.5,0.9699710607528688,0.8876797556877136,0.8439540863037109
52,1.0,0.926889181137085,0.8204050064086914,0.7676504254341125
52,2.0,0.7772549986839294,0.6127300262451172,0.4969398975372314
53,0.0,0.9842288494110109,0.9143484830856324,0.8635933995246887
53,0.5,0.9661418795585632,0.8897973299026489,0.8388756513595581
53,1.0,0.9149578213691713,0.8136203289031982,0.756941556930542
53,2.0,0.7554485201835632,0.6274114847183228,0.5377987623214722
54,0.0,0.979446291923523,0.90706604719162,0.8708527684211731
54,0.5,0.961538791656494,0.8902081251144409,0.8463904857635498
54,1.0,0.9168944954872132,0.8362083435058594,0.7624458074569702
54,2.0,0.7554879188537598,0.6833686828613281,0.5550978779792786
55,0.0,0.9841959476470948,0.910740077495575,0.8592849969863892
55,0.5,0.9761919379234314,0.895269513130188,0.8405195474624634
55,1.0,0.9512403607368468,0.8305819034576416,0.7664248943328857
55,2.0,0.8164252042770386,0.6119452714920044,0.5074505805969238
56,0.0,0.981176495552063,0.904619574546814,0.8536635041236877
56,0.5,0.9703909754753112,0.8857521414756775,0.8388326168060303
56,1.0,0.9339186549186708,0.8088122606277466,0.7725905179977417
56,2.0,0.7712057828903198,0.5669947862625122,0.5588140487670898
