name,seed,PE_1h,PE_6h,PE_12h,PE_pers_1h,PE_st_6h,n_storm
hybrid_short_storm_long_tf,42,0.986106276512146,0.8997486233711243,0.8466228246688843,0.3158285617828369,0.8110564947128296,932
hybrid_short_storm_long_tf,43,0.9860517978668213,0.8975707292556763,0.8449603319168091,0.3131442666053772,0.8135641813278198,932
hybrid_short_storm_long_tf,44,0.9855964779853821,0.894393801689148,0.8382748365402222,0.29072248935699463,0.7755786776542664,932
hybrid_short_storm_long_tf,45,0.986072838306427,0.899485170841217,0.8561122417449951,0.3141797184944153,0.7854229807853699,932
hybrid_short_storm_long_tf,46,0.9865100383758545,0.8929822444915771,0.8519955277442932,0.33570975065231323,0.7871494889259338,932
hybrid_short_storm_long_tf,47,0.9862711429595947,0.8964594602584839,0.8397694230079651,0.3239472508430481,0.801445484161377,932
hybrid_short_storm_long_tf,48,0.9853629469871521,0.890984058380127,0.8361318111419678,0.2792227864265442,0.7926068902015686,932
hybrid_short_storm_long_tf,49,0.9858397841453552,0.887957751750946,0.8456138372421265,0.3027046322822571,0.801964521408081,932
hybrid_short_storm_long_tf,50,0.9861087203025818,0.8905090689659119,0.8292152881622314,0.31594669818878174,0.7902013063430786,932
hybrid_short_storm_long_tf,51,0.9862293004989624,0.8898549675941467,0.8508694767951965,0.32188713550567627,0.7841855883598328,932
hybrid_short_storm_long_tf,52,0.9857558012008667,0.89960116147995,0.8448270559310913,0.29856908321380615,0.8036503791809082,932
hybrid_short_storm_long_tf,53,0.9863041043281555,0.8928871750831604,0.8430863618850708,0.3255682587623596,0.7846424579620361,932
hybrid_short_storm_long_tf,54,0.985849916934967,0.8986672163009644,0.8469722270965576,0.3032045364379883,0.8135608434677124,932
hybrid_short_storm_long_tf,55,0.9864462018013,0.8976945281028748,0.8589876890182495,0.3325669765472412,0.7940412163734436,932
hybrid_short_storm_long_tf,56,0.9859211444854736,0.8921971321105957,0.8482085466384888,0.3067123293876648,0.8109282851219177,932
