Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
storm_cathode,42,1,-0.0409,-0.1425,0.3906,1.004,6e-05
storm_cathode,42,2,-0.0936,-0.1701,0.2486,1.02,0.00012
storm_cathode,42,3,-0.1188,-0.1918,0.1793,1.039,0.00018
storm_cathode,42,4,-0.1341,-0.1811,0.1652,1.05,0.00024
storm_cathode,42,5,-0.1455,-0.2056,0.1405,1.056,0.0003
storm_cathode,42,6,-0.152,-0.1673,0.1357,1.066,0.000299
storm_cathode,42,7,-0.1599,-0.1578,0.1418,1.074,0.000298
storm_cathode,42,8,-0.1608,-0.1695,0.1191,1.08,0.000295
storm_cathode,42,9,-0.171,-0.1772,0.1165,1.083,0.00029
storm_cathode,42,10,-0.1772,-0.1569,0.1424,1.082,0.000285
storm_cathode,42,11,-0.1802,-0.1905,0.1276,1.084,0.000279
storm_cathode,42,12,-0.1829,-0.1857,0.1111,1.085,0.000271
storm_cathode,42,13,-0.1841,-0.1812,0.1147,1.081,0.000263
storm_cathode,42,14,-0.1851,-0.161,0.1138,1.081,0.000254
storm_cathode,42,15,-0.1882,-0.1802,0.1194,1.077,0.000244
storm_cathode,42,16,-0.1918,-0.1613,0.1239,1.077,0.000233
storm_cathode,42,17,-0.1937,-0.1534,0.1231,1.076,0.000221
storm_cathode,42,18,-0.1924,-0.1642,0.1159,1.072,0.000209
storm_cathode,42,19,-0.1945,-0.1389,0.1298,1.073,0.000196
storm_cathode,42,20,-0.1957,-0.1479,0.1169,1.071,0.000183
storm_cathode,42,21,-0.1942,-0.1493,0.119,1.071,0.00017
storm_cathode,42,22,-0.1975,-0.1411,0.1196,1.069,0.000157
storm_cathode,42,23,-0.1985,-0.1327,0.1198,1.067,0.000143
storm_cathode,42,24,-0.1961,-0.1381,0.1149,1.065,0.00013
