Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
storm_no_physics,43,1,-0.0989,-0.1677,0.3483,1.002,6e-05
storm_no_physics,43,2,-0.1401,-0.1971,0.2147,1.009,0.00012
storm_no_physics,43,3,-0.1571,-0.1869,0.2167,1.013,0.00018
storm_no_physics,43,4,-0.1685,-0.1919,0.1669,1.02,0.00024
storm_no_physics,43,5,-0.1772,-0.1947,0.1338,1.025,0.0003
storm_no_physics,43,6,-0.1851,-0.2164,0.1365,1.03,0.000299
storm_no_physics,43,7,-0.1857,-0.1885,0.1166,1.037,0.000298
storm_no_physics,43,8,-0.1941,-0.2008,0.1219,1.041,0.000295
storm_no_physics,43,9,-0.1969,-0.189,0.1122,1.044,0.00029
storm_no_physics,43,10,-0.1989,-0.1724,0.1162,1.046,0.000285
storm_no_physics,43,11,-0.2037,-0.1946,0.1277,1.048,0.000279
storm_no_physics,43,12,-0.2067,-0.1844,0.1181,1.048,0.000271
storm_no_physics,43,13,-0.2052,-0.1743,0.1142,1.049,0.000263
storm_no_physics,43,14,-0.2065,-0.1855,0.1127,1.048,0.000254
storm_no_physics,43,15,-0.2093,-0.1962,0.1203,1.051,0.000244
storm_no_physics,43,16,-0.208,-0.1815,0.1116,1.05,0.000233
storm_no_physics,43,17,-0.2115,-0.176,0.1119,1.052,0.000221
storm_no_physics,43,18,-0.2105,-0.1625,0.1159,1.053,0.000209
storm_no_physics,43,19,-0.211,-0.1682,0.1105,1.053,0.000196
storm_no_physics,43,20,-0.2132,-0.1662,0.1131,1.054,0.000183
storm_no_physics,43,21,-0.2117,-0.1721,0.1117,1.055,0.00017
storm_no_physics,43,22,-0.2138,-0.1811,0.1149,1.055,0.000157
storm_no_physics,43,23,-0.2132,-0.1779,0.1134,1.056,0.000143
storm_no_physics,43,24,-0.2153,-0.1652,0.1153,1.057,0.00013
storm_no_physics,43,25,-0.2122,-0.1588,0.1179,1.056,0.000117
storm_no_physics,43,26,-0.2123,-0.1615,0.1125,1.057,0.000104
storm_no_physics,43,27,-0.2139,-0.1567,0.1135,1.057,9.1e-05
storm_no_physics,43,28,-0.2149,-0.1578,0.115,1.057,7.89e-05
storm_no_physics,43,29,-0.214,-0.1578,0.1123,1.057,6.74e-05
storm_no_physics,43,30,-0.2158,-0.1486,0.1101,1.057,5.65e-05
storm_no_physics,43,31,-0.2157,-0.1441,0.1122,1.057,4.63e-05
storm_no_physics,43,32,-0.214,-0.1537,0.1131,1.058,3.7e-05
storm_no_physics,43,33,-0.218,-0.1531,0.112,1.057,2.86e-05
storm_no_physics,43,34,-0.2167,-0.1504,0.1134,1.058,2.12e-05
storm_no_physics,43,35,-0.2174,-0.1506,0.1137,1.058,1.49e-05
storm_no_physics,43,36,-0.2141,-0.1496,0.1125,1.058,9.56e-06
storm_no_physics,43,37,-0.2166,-0.1452,0.1125,1.058,5.41e-06
storm_no_physics,43,38,-0.2157,-0.1512,0.1112,1.058,2.41e-06
storm_no_physics,43,39,-0.217,-0.15,0.111,1.058,6.04e-07
storm_no_physics,43,40,-0.217,-0.1508,0.1113,1.058,0.0
