Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
seqlen_48,42,1,-0.0359,-0.123,0.4344,1.006,6e-05
seqlen_48,42,2,-0.0985,-0.1556,0.2735,1.023,0.00012
seqlen_48,42,3,-0.1191,-0.188,0.1902,1.04,0.00018
seqlen_48,42,4,-0.1325,-0.1867,0.1772,1.055,0.00024
seqlen_48,42,5,-0.141,-0.1927,0.1555,1.069,0.0003
seqlen_48,42,6,-0.1501,-0.1834,0.1333,1.082,0.000299
seqlen_48,42,7,-0.1575,-0.1692,0.1278,1.089,0.000298
seqlen_48,42,8,-0.1648,-0.1786,0.141,1.096,0.000295
seqlen_48,42,9,-0.1687,-0.1787,0.1202,1.104,0.00029
seqlen_48,42,10,-0.1694,-0.2076,0.1194,1.102,0.000285
seqlen_48,42,11,-0.1733,-0.1629,0.1287,1.097,0.000279
seqlen_48,42,12,-0.1735,-0.1793,0.133,1.099,0.000271
seqlen_48,42,13,-0.1736,-0.1684,0.1343,1.097,0.000263
seqlen_48,42,14,-0.1765,-0.1646,0.1286,1.094,0.000254
seqlen_48,42,15,-0.1786,-0.1673,0.1234,1.09,0.000244
seqlen_48,42,16,-0.1781,-0.1549,0.1197,1.088,0.000233
seqlen_48,42,17,-0.1785,-0.1474,0.124,1.086,0.000221
seqlen_48,42,18,-0.1797,-0.1708,0.1193,1.083,0.000209
seqlen_48,42,19,-0.1821,-0.1669,0.1183,1.08,0.000196
seqlen_48,42,20,-0.1813,-0.1617,0.119,1.078,0.000183
seqlen_48,42,21,-0.1844,-0.1494,0.1186,1.075,0.00017
seqlen_48,42,22,-0.1843,-0.1747,0.1209,1.073,0.000157
seqlen_48,42,23,-0.1849,-0.1558,0.122,1.072,0.000143
seqlen_48,42,24,-0.1849,-0.1531,0.1189,1.072,0.00013
seqlen_48,42,25,-0.1872,-0.1523,0.1192,1.072,0.000117
seqlen_48,42,26,-0.1877,-0.1569,0.1182,1.072,0.000104
seqlen_48,42,27,-0.1864,-0.142,0.1159,1.07,9.1e-05
seqlen_48,42,28,-0.1888,-0.1453,0.1197,1.07,7.89e-05
seqlen_48,42,29,-0.1904,-0.1461,0.1191,1.07,6.74e-05
seqlen_48,42,30,-0.1916,-0.1418,0.1195,1.07,5.65e-05
seqlen_48,42,31,-0.1899,-0.1352,0.1212,1.071,4.63e-05
seqlen_48,42,32,-0.1882,-0.1417,0.117,1.07,3.7e-05
seqlen_48,42,33,-0.1884,-0.1352,0.1169,1.07,2.86e-05
seqlen_48,42,34,-0.1907,-0.1367,0.1161,1.07,2.12e-05
seqlen_48,42,35,-0.193,-0.1418,0.1161,1.07,1.49e-05
seqlen_48,42,36,-0.1911,-0.1392,0.1172,1.07,9.56e-06
seqlen_48,42,37,-0.1908,-0.1375,0.1173,1.069,5.41e-06
seqlen_48,42,38,-0.1902,-0.14,0.1165,1.069,2.41e-06
seqlen_48,42,39,-0.195,-0.1396,0.1172,1.069,6.04e-07
