Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
storm_cathode,44,1,0.0004,-0.1441,0.2777,1.013,6e-05
storm_cathode,44,2,-0.0823,-0.1845,0.1858,1.032,0.00012
storm_cathode,44,3,-0.0956,-0.1905,0.1623,1.05,0.00018
storm_cathode,44,4,-0.099,-0.1917,0.138,1.065,0.00024
storm_cathode,44,5,-0.0999,-0.197,0.135,1.08,0.0003
storm_cathode,44,6,-0.1179,-0.1689,0.1361,1.087,0.000299
storm_cathode,44,7,-0.1362,-0.1864,0.1277,1.095,0.000298
storm_cathode,44,8,-0.1498,-0.1813,0.1227,1.102,0.000295
storm_cathode,44,9,-0.1611,-0.1956,0.1171,1.105,0.00029
storm_cathode,44,10,-0.167,-0.1886,0.1226,1.105,0.000285
storm_cathode,44,11,-0.17,-0.1723,0.1116,1.106,0.000279
storm_cathode,44,12,-0.1731,-0.1859,0.1189,1.107,0.000271
storm_cathode,44,13,-0.1776,-0.1807,0.1192,1.108,0.000263
storm_cathode,44,14,-0.1806,-0.1633,0.1225,1.11,0.000254
storm_cathode,44,15,-0.1818,-0.1835,0.1151,1.109,0.000244
storm_cathode,44,16,-0.1854,-0.1767,0.1152,1.109,0.000233
storm_cathode,44,17,-0.1844,-0.1668,0.1127,1.108,0.000221
storm_cathode,44,18,-0.1882,-0.1492,0.1139,1.106,0.000209
storm_cathode,44,19,-0.1874,-0.1662,0.1137,1.11,0.000196
storm_cathode,44,20,-0.1913,-0.1632,0.1135,1.107,0.000183
storm_cathode,44,21,-0.1909,-0.1614,0.1137,1.11,0.00017
storm_cathode,44,22,-0.1913,-0.159,0.1285,1.109,0.000157
storm_cathode,44,23,-0.1923,-0.1595,0.1124,1.109,0.000143
