Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
sweep_sw10,42,1,-0.0422,-0.1406,0.3925,1.007,6e-05
sweep_sw10,42,2,-0.094,-0.1844,0.23,1.027,0.00012
sweep_sw10,42,3,-0.1168,-0.1957,0.1687,1.044,0.00018
sweep_sw10,42,4,-0.136,-0.1946,0.168,1.059,0.00024
sweep_sw10,42,5,-0.1437,-0.1776,0.1294,1.07,0.0003
sweep_sw10,42,6,-0.1562,-0.2069,0.1331,1.08,0.000299
sweep_sw10,42,7,-0.164,-0.1582,0.1288,1.084,0.000298
sweep_sw10,42,8,-0.168,-0.1965,0.1211,1.089,0.000295
sweep_sw10,42,9,-0.1748,-0.207,0.126,1.094,0.00029
sweep_sw10,42,10,-0.178,-0.1792,0.118,1.095,0.000285
sweep_sw10,42,11,-0.1846,-0.162,0.1197,1.091,0.000279
sweep_sw10,42,12,-0.1871,-0.1706,0.1106,1.091,0.000271
sweep_sw10,42,13,-0.1892,-0.1695,0.117,1.093,0.000263
sweep_sw10,42,14,-0.1909,-0.1692,0.1127,1.093,0.000254
sweep_sw10,42,15,-0.1933,-0.1588,0.1181,1.089,0.000244
sweep_sw10,42,16,-0.191,-0.1452,0.1199,1.087,0.000233
sweep_sw10,42,17,-0.1929,-0.1568,0.114,1.084,0.000221
sweep_sw10,42,18,-0.1949,-0.1643,0.1111,1.079,0.000209
sweep_sw10,42,19,-0.1936,-0.1405,0.1087,1.079,0.000196
sweep_sw10,42,20,-0.1964,-0.1519,0.1151,1.076,0.000183
sweep_sw10,42,21,-0.1969,-0.1473,0.1203,1.074,0.00017
sweep_sw10,42,22,-0.1946,-0.1588,0.111,1.068,0.000157
sweep_sw10,42,23,-0.1974,-0.1676,0.1076,1.065,0.000143
sweep_sw10,42,24,-0.1975,-0.1513,0.1125,1.064,0.00013
sweep_sw10,42,25,-0.1951,-0.1441,0.1148,1.06,0.000117
sweep_sw10,42,26,-0.1974,-0.15,0.1115,1.059,0.000104
sweep_sw10,42,27,-0.1987,-0.1488,0.1135,1.058,9.1e-05
sweep_sw10,42,28,-0.199,-0.1394,0.1106,1.057,7.89e-05
sweep_sw10,42,29,-0.2015,-0.146,0.1103,1.056,6.74e-05
sweep_sw10,42,30,-0.2029,-0.1416,0.1126,1.054,5.65e-05
sweep_sw10,42,31,-0.2028,-0.1376,0.1127,1.053,4.63e-05
sweep_sw10,42,32,-0.1994,-0.1433,0.1146,1.052,3.7e-05
sweep_sw10,42,33,-0.2019,-0.1386,0.1136,1.052,2.86e-05
sweep_sw10,42,34,-0.203,-0.1372,0.1106,1.051,2.12e-05
sweep_sw10,42,35,-0.2031,-0.1396,0.1118,1.051,1.49e-05
