Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
transformer,42,1,0.5079,0.0617,0.195,0.0,6e-05
transformer,42,2,0.1625,0.0543,0.1629,0.0,0.00012
transformer,42,3,0.1444,0.0422,0.1254,0.0,0.00018
transformer,42,4,0.1325,0.0372,0.1226,0.0,0.00024
transformer,42,5,0.1256,0.0428,0.1174,0.0,0.0003
transformer,42,6,0.1164,0.0346,0.1072,0.0,0.000299
transformer,42,7,0.1101,0.0401,0.1216,0.0,0.000298
transformer,42,8,0.1048,0.0457,0.1244,0.0,0.000295
transformer,42,9,0.1003,0.0372,0.1154,0.0,0.00029
transformer,42,10,0.0979,0.0356,0.1087,0.0,0.000285
transformer,42,11,0.0942,0.0387,0.1198,0.0,0.000279
transformer,42,12,0.0924,0.0393,0.1178,0.0,0.000271
transformer,42,13,0.0902,0.0356,0.1097,0.0,0.000263
transformer,42,14,0.0871,0.0363,0.1074,0.0,0.000254
transformer,42,15,0.0843,0.0378,0.1087,0.0,0.000244
transformer,42,16,0.0818,0.0386,0.1159,0.0,0.000233
transformer,42,17,0.0775,0.0389,0.1167,0.0,0.000221
transformer,42,18,0.0755,0.0336,0.1048,0.0,0.000209
transformer,42,19,0.0717,0.0383,0.1175,0.0,0.000196
transformer,42,20,0.0698,0.0352,0.1179,0.0,0.000183
transformer,42,21,0.0663,0.0354,0.1064,0.0,0.00017
transformer,42,22,0.0643,0.0341,0.105,0.0,0.000157
transformer,42,23,0.0624,0.0329,0.1046,0.0,0.000143
transformer,42,24,0.0607,0.0363,0.1075,0.0,0.00013
transformer,42,25,0.0588,0.035,0.1108,0.0,0.000117
transformer,42,26,0.0563,0.0349,0.1055,0.0,0.000104
transformer,42,27,0.0544,0.0346,0.1051,0.0,9.1e-05
transformer,42,28,0.0532,0.0356,0.1059,0.0,7.89e-05
transformer,42,29,0.0523,0.0357,0.1086,0.0,6.74e-05
transformer,42,30,0.0502,0.0354,0.1082,0.0,5.65e-05
transformer,42,31,0.0499,0.0337,0.1084,0.0,4.63e-05
transformer,42,32,0.0489,0.0346,0.1062,0.0,3.7e-05
transformer,42,33,0.048,0.034,0.1071,0.0,2.86e-05
transformer,42,34,0.0478,0.0343,0.1047,0.0,2.12e-05
transformer,42,35,0.047,0.0339,0.1061,0.0,1.49e-05
