Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
storm_bz,42,1,-0.0355,-0.145,0.3413,1.01,6e-05
storm_bz,42,2,-0.0957,-0.1949,0.195,1.03,0.00012
storm_bz,42,3,-0.1148,-0.186,0.1732,1.047,0.00018
storm_bz,42,4,-0.1263,-0.2029,0.1572,1.06,0.00024
storm_bz,42,5,-0.136,-0.1634,0.1425,1.069,0.0003
storm_bz,42,6,-0.1525,-0.1896,0.1259,1.077,0.000299
storm_bz,42,7,-0.1575,-0.1655,0.1381,1.083,0.000298
storm_bz,42,8,-0.1605,-0.1504,0.1232,1.09,0.000295
storm_bz,42,9,-0.1679,-0.1278,0.1349,1.092,0.00029
storm_bz,42,10,-0.1734,-0.1675,0.1238,1.096,0.000285
storm_bz,42,11,-0.1833,-0.1482,0.12,1.095,0.000279
storm_bz,42,12,-0.1871,-0.1792,0.1137,1.099,0.000271
storm_bz,42,13,-0.1876,-0.1657,0.1177,1.096,0.000263
storm_bz,42,14,-0.1899,-0.178,0.1175,1.092,0.000254
storm_bz,42,15,-0.1931,-0.1524,0.1138,1.09,0.000244
storm_bz,42,16,-0.1931,-0.1736,0.1162,1.09,0.000233
storm_bz,42,17,-0.192,-0.1588,0.1123,1.092,0.000221
storm_bz,42,18,-0.1938,-0.1613,0.1129,1.09,0.000209
storm_bz,42,19,-0.1953,-0.165,0.116,1.087,0.000196
storm_bz,42,20,-0.1938,-0.1501,0.1185,1.087,0.000183
storm_bz,42,21,-0.1956,-0.1532,0.1177,1.087,0.00017
storm_bz,42,22,-0.1956,-0.1565,0.1144,1.086,0.000157
storm_bz,42,23,-0.1968,-0.1659,0.1107,1.085,0.000143
storm_bz,42,24,-0.1969,-0.1445,0.1112,1.085,0.00013
storm_bz,42,25,-0.1958,-0.1658,0.1128,1.084,0.000117
storm_bz,42,26,-0.1988,-0.1446,0.1138,1.083,0.000104
storm_bz,42,27,-0.1997,-0.1368,0.1132,1.082,9.1e-05
storm_bz,42,28,-0.1979,-0.1486,0.1106,1.082,7.89e-05
storm_bz,42,29,-0.2003,-0.1273,0.1131,1.081,6.74e-05
storm_bz,42,30,-0.2011,-0.1501,0.1154,1.082,5.65e-05
storm_bz,42,31,-0.2005,-0.1418,0.1127,1.082,4.63e-05
storm_bz,42,32,-0.198,-0.1419,0.1119,1.082,3.7e-05
storm_bz,42,33,-0.2018,-0.1409,0.1118,1.082,2.86e-05
storm_bz,42,34,-0.201,-0.1304,0.1108,1.081,2.12e-05
storm_bz,42,35,-0.2039,-0.1336,0.1112,1.081,1.49e-05
storm_bz,42,36,-0.2023,-0.1355,0.1115,1.081,9.56e-06
storm_bz,42,37,-0.2025,-0.1332,0.111,1.081,5.41e-06
storm_bz,42,38,-0.2041,-0.1328,0.1112,1.081,2.41e-06
storm_bz,42,39,-0.2028,-0.1361,0.1109,1.081,6.04e-07
storm_bz,42,40,-0.2019,-0.1353,0.1109,1.081,0.0
