Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
storm_cathode_spec,42,1,-0.0377,-0.1296,0.4165,1.007,6e-05
storm_cathode_spec,42,2,-0.0969,-0.1699,0.2324,1.027,0.00012
storm_cathode_spec,42,3,-0.1217,-0.1993,0.1772,1.045,0.00018
storm_cathode_spec,42,4,-0.1368,-0.2047,0.1682,1.058,0.00024
storm_cathode_spec,42,5,-0.1452,-0.1533,0.1519,1.069,0.0003
storm_cathode_spec,42,6,-0.153,-0.1779,0.1323,1.077,0.000299
storm_cathode_spec,42,7,-0.1587,-0.1921,0.1364,1.085,0.000298
storm_cathode_spec,42,8,-0.1653,-0.1754,0.1418,1.092,0.000295
storm_cathode_spec,42,9,-0.1721,-0.1951,0.1182,1.093,0.00029
storm_cathode_spec,42,10,-0.1794,-0.1678,0.1227,1.096,0.000285
storm_cathode_spec,42,11,-0.1871,-0.1848,0.117,1.097,0.000279
storm_cathode_spec,42,12,-0.1891,-0.1718,0.1119,1.096,0.000271
storm_cathode_spec,42,13,-0.1917,-0.194,0.1186,1.092,0.000263
storm_cathode_spec,42,14,-0.1924,-0.1648,0.1178,1.088,0.000254
storm_cathode_spec,42,15,-0.1947,-0.1776,0.1125,1.089,0.000244
storm_cathode_spec,42,16,-0.194,-0.1644,0.1159,1.089,0.000233
storm_cathode_spec,42,17,-0.1936,-0.1717,0.1241,1.09,0.000221
storm_cathode_spec,42,18,-0.1945,-0.181,0.1161,1.091,0.000209
storm_cathode_spec,42,19,-0.1961,-0.1425,0.1236,1.087,0.000196
storm_cathode_spec,42,20,-0.1939,-0.1725,0.1162,1.089,0.000183
storm_cathode_spec,42,21,-0.1953,-0.1547,0.1157,1.085,0.00017
storm_cathode_spec,42,22,-0.196,-0.1432,0.1175,1.085,0.000157
storm_cathode_spec,42,23,-0.1973,-0.1492,0.1109,1.084,0.000143
storm_cathode_spec,42,24,-0.1974,-0.1443,0.1247,1.084,0.00013
storm_cathode_spec,42,25,-0.1985,-0.1656,0.1179,1.083,0.000117
storm_cathode_spec,42,26,-0.1998,-0.1365,0.114,1.083,0.000104
storm_cathode_spec,42,27,-0.2013,-0.1331,0.1229,1.082,9.1e-05
storm_cathode_spec,42,28,-0.1997,-0.1471,0.1138,1.081,7.89e-05
storm_cathode_spec,42,29,-0.2018,-0.1423,0.1135,1.08,6.74e-05
storm_cathode_spec,42,30,-0.202,-0.1568,0.114,1.08,5.65e-05
storm_cathode_spec,42,31,-0.2025,-0.1517,0.1121,1.08,4.63e-05
storm_cathode_spec,42,32,-0.2017,-0.1441,0.1121,1.079,3.7e-05
storm_cathode_spec,42,33,-0.2049,-0.15,0.1108,1.079,2.86e-05
storm_cathode_spec,42,34,-0.2025,-0.1419,0.1123,1.079,2.12e-05
storm_cathode_spec,42,35,-0.2075,-0.1469,0.1133,1.079,1.49e-05
storm_cathode_spec,42,36,-0.2062,-0.147,0.1125,1.079,9.56e-06
storm_cathode_spec,42,37,-0.2055,-0.1435,0.1119,1.079,5.41e-06
storm_cathode_spec,42,38,-0.206,-0.1435,0.1118,1.079,2.41e-06
storm_cathode_spec,42,39,-0.2049,-0.1452,0.1127,1.079,6.04e-07
storm_cathode_spec,42,40,-0.2053,-0.1446,0.1124,1.079,0.0
