Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
storm_cathode_spec,43,1,-0.0027,-0.1148,0.3111,1.01,6e-05
storm_cathode_spec,43,2,-0.0901,-0.1676,0.1938,1.029,0.00012
storm_cathode_spec,43,3,-0.1026,-0.194,0.1554,1.048,0.00018
storm_cathode_spec,43,4,-0.1116,-0.1975,0.1327,1.063,0.00024
storm_cathode_spec,43,5,-0.116,-0.1956,0.1242,1.076,0.0003
storm_cathode_spec,43,6,-0.1219,-0.18,0.1213,1.086,0.000299
storm_cathode_spec,43,7,-0.1285,-0.1952,0.1262,1.093,0.000298
storm_cathode_spec,43,8,-0.1502,-0.1939,0.1158,1.097,0.000295
storm_cathode_spec,43,9,-0.1612,-0.1966,0.1128,1.097,0.00029
storm_cathode_spec,43,10,-0.171,-0.1759,0.1214,1.095,0.000285
storm_cathode_spec,43,11,-0.1792,-0.1791,0.1147,1.094,0.000279
storm_cathode_spec,43,12,-0.1887,-0.1747,0.1152,1.089,0.000271
storm_cathode_spec,43,13,-0.1887,-0.1627,0.1211,1.087,0.000263
storm_cathode_spec,43,14,-0.1904,-0.1688,0.1278,1.085,0.000254
storm_cathode_spec,43,15,-0.1929,-0.1696,0.1194,1.082,0.000244
storm_cathode_spec,43,16,-0.193,-0.1765,0.118,1.079,0.000233
storm_cathode_spec,43,17,-0.1964,-0.1576,0.1132,1.078,0.000221
storm_cathode_spec,43,18,-0.1959,-0.1487,0.1117,1.076,0.000209
storm_cathode_spec,43,19,-0.1965,-0.1676,0.1102,1.07,0.000196
storm_cathode_spec,43,20,-0.1981,-0.1524,0.1094,1.07,0.000183
storm_cathode_spec,43,21,-0.1985,-0.1575,0.1103,1.068,0.00017
storm_cathode_spec,43,22,-0.2007,-0.1522,0.111,1.066,0.000157
storm_cathode_spec,43,23,-0.1997,-0.1621,0.1087,1.062,0.000143
storm_cathode_spec,43,24,-0.2023,-0.1513,0.1121,1.06,0.00013
storm_cathode_spec,43,25,-0.1983,-0.1424,0.1098,1.058,0.000117
storm_cathode_spec,43,26,-0.2017,-0.1497,0.1079,1.058,0.000104
storm_cathode_spec,43,27,-0.2007,-0.148,0.1114,1.059,9.1e-05
storm_cathode_spec,43,28,-0.2034,-0.1534,0.1099,1.057,7.89e-05
storm_cathode_spec,43,29,-0.2036,-0.1465,0.1064,1.054,6.74e-05
storm_cathode_spec,43,30,-0.2044,-0.1517,0.1094,1.055,5.65e-05
storm_cathode_spec,43,31,-0.2056,-0.1401,0.1094,1.055,4.63e-05
storm_cathode_spec,43,32,-0.2039,-0.1442,0.1078,1.053,3.7e-05
storm_cathode_spec,43,33,-0.2063,-0.1523,0.1075,1.053,2.86e-05
storm_cathode_spec,43,34,-0.2071,-0.1497,0.1086,1.053,2.12e-05
storm_cathode_spec,43,35,-0.2065,-0.1465,0.1086,1.052,1.49e-05
storm_cathode_spec,43,36,-0.2048,-0.142,0.1085,1.052,9.56e-06
storm_cathode_spec,43,37,-0.2078,-0.142,0.1085,1.052,5.41e-06
storm_cathode_spec,43,38,-0.2058,-0.1433,0.1081,1.052,2.41e-06
storm_cathode_spec,43,39,-0.2066,-0.1445,0.1082,1.052,6.04e-07
storm_cathode_spec,43,40,-0.2076,-0.1448,0.1081,1.052,0.0
