Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
transformer,43,1,0.3945,0.0678,0.2002,0.0,6e-05
transformer,43,2,0.1569,0.0504,0.154,0.0,0.00012
transformer,43,3,0.1365,0.0433,0.1407,0.0,0.00018
transformer,43,4,0.1256,0.0456,0.1428,0.0,0.00024
transformer,43,5,0.1182,0.041,0.122,0.0,0.0003
transformer,43,6,0.1105,0.0468,0.1177,0.0,0.000299
transformer,43,7,0.1068,0.0357,0.1109,0.0,0.000298
transformer,43,8,0.101,0.0411,0.1242,0.0,0.000295
transformer,43,9,0.0977,0.0429,0.1283,0.0,0.00029
transformer,43,10,0.0946,0.0365,0.1139,0.0,0.000285
transformer,43,11,0.0907,0.0406,0.1252,0.0,0.000279
transformer,43,12,0.087,0.0374,0.1153,0.0,0.000271
transformer,43,13,0.081,0.0392,0.1205,0.0,0.000263
transformer,43,14,0.0755,0.04,0.1176,0.0,0.000254
transformer,43,15,0.0715,0.0378,0.1143,0.0,0.000244
transformer,43,16,0.0692,0.0396,0.1194,0.0,0.000233
transformer,43,17,0.066,0.0367,0.1136,0.0,0.000221
transformer,43,18,0.0643,0.0364,0.1135,0.0,0.000209
transformer,43,19,0.0626,0.0369,0.1172,0.0,0.000196
