Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
storm_radiotrophic,42,1,-0.0342,-0.1514,0.3122,1.008,6e-05
storm_radiotrophic,42,2,-0.0931,-0.201,0.1874,1.026,0.00012
storm_radiotrophic,42,3,-0.1149,-0.1941,0.1623,1.034,0.00018
storm_radiotrophic,42,4,-0.1336,-0.1992,0.1609,1.043,0.00024
storm_radiotrophic,42,5,-0.1383,-0.1758,0.1273,1.051,0.0003
storm_radiotrophic,42,6,-0.1485,-0.1999,0.1309,1.06,0.000299
storm_radiotrophic,42,7,-0.1541,-0.1742,0.1341,1.066,0.000298
storm_radiotrophic,42,8,-0.1607,-0.1786,0.1197,1.073,0.000295
storm_radiotrophic,42,9,-0.1701,-0.1654,0.1172,1.078,0.00029
storm_radiotrophic,42,10,-0.1758,-0.1515,0.1256,1.086,0.000285
storm_radiotrophic,42,11,-0.1837,-0.1754,0.1212,1.087,0.000279
storm_radiotrophic,42,12,-0.1872,-0.1684,0.1132,1.091,0.000271
storm_radiotrophic,42,13,-0.1888,-0.1744,0.1162,1.09,0.000263
storm_radiotrophic,42,14,-0.1903,-0.1744,0.1197,1.085,0.000254
storm_radiotrophic,42,15,-0.1942,-0.1755,0.1217,1.083,0.000244
storm_radiotrophic,42,16,-0.192,-0.1527,0.1319,1.082,0.000233
storm_radiotrophic,42,17,-0.1919,-0.1664,0.1204,1.082,0.000221
storm_radiotrophic,42,18,-0.1937,-0.1592,0.1196,1.083,0.000209
storm_radiotrophic,42,19,-0.1939,-0.1545,0.1178,1.079,0.000196
storm_radiotrophic,42,20,-0.1934,-0.142,0.1213,1.079,0.000183
storm_radiotrophic,42,21,-0.1936,-0.1543,0.1148,1.08,0.00017
storm_radiotrophic,42,22,-0.1948,-0.1474,0.1211,1.078,0.000157
storm_radiotrophic,42,23,-0.1955,-0.1554,0.122,1.075,0.000143
storm_radiotrophic,42,24,-0.1954,-0.1476,0.1174,1.075,0.00013
