Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
storm_no_delay,44,1,-0.0335,-0.149,0.3429,1.0,6e-05
storm_no_delay,44,2,-0.1065,-0.1794,0.25,1.0,0.00012
storm_no_delay,44,3,-0.1342,-0.1913,0.1832,1.0,0.00018
storm_no_delay,44,4,-0.1478,-0.1819,0.179,1.0,0.00024
storm_no_delay,44,5,-0.1584,-0.1881,0.1331,1.0,0.0003
storm_no_delay,44,6,-0.1672,-0.1932,0.1341,1.0,0.000299
storm_no_delay,44,7,-0.172,-0.15,0.122,1.0,0.000298
storm_no_delay,44,8,-0.1711,-0.1939,0.125,1.0,0.000295
storm_no_delay,44,9,-0.1759,-0.1633,0.1258,1.0,0.00029
storm_no_delay,44,10,-0.176,-0.1879,0.1216,1.0,0.000285
storm_no_delay,44,11,-0.1796,-0.1712,0.1256,1.0,0.000279
storm_no_delay,44,12,-0.184,-0.1687,0.1221,1.0,0.000271
storm_no_delay,44,13,-0.1821,-0.1664,0.1214,1.0,0.000263
storm_no_delay,44,14,-0.1879,-0.1831,0.1259,1.0,0.000254
storm_no_delay,44,15,-0.1897,-0.165,0.118,1.0,0.000244
storm_no_delay,44,16,-0.1893,-0.1745,0.1443,1.0,0.000233
storm_no_delay,44,17,-0.1934,-0.1734,0.1186,1.0,0.000221
storm_no_delay,44,18,-0.192,-0.163,0.1174,1.0,0.000209
storm_no_delay,44,19,-0.1935,-0.1584,0.1179,1.0,0.000196
storm_no_delay,44,20,-0.1921,-0.1515,0.1182,1.0,0.000183
storm_no_delay,44,21,-0.1935,-0.1653,0.1197,1.0,0.00017
storm_no_delay,44,22,-0.1963,-0.1466,0.1222,1.0,0.000157
storm_no_delay,44,23,-0.196,-0.1505,0.1143,1.0,0.000143
storm_no_delay,44,24,-0.1961,-0.1539,0.1167,1.0,0.00013
storm_no_delay,44,25,-0.1971,-0.1374,0.1315,1.0,0.000117
storm_no_delay,44,26,-0.1953,-0.1467,0.1154,1.0,0.000104
storm_no_delay,44,27,-0.195,-0.1412,0.1187,1.0,9.1e-05
storm_no_delay,44,28,-0.1985,-0.1367,0.1233,1.0,7.89e-05
storm_no_delay,44,29,-0.1989,-0.1402,0.1202,1.0,6.74e-05
storm_no_delay,44,30,-0.1984,-0.1351,0.1183,1.0,5.65e-05
storm_no_delay,44,31,-0.1995,-0.1337,0.119,1.0,4.63e-05
storm_no_delay,44,32,-0.2008,-0.1361,0.1198,1.0,3.7e-05
storm_no_delay,44,33,-0.2002,-0.1383,0.1172,1.0,2.86e-05
storm_no_delay,44,34,-0.2007,-0.1344,0.1188,1.0,2.12e-05
storm_no_delay,44,35,-0.1991,-0.1312,0.1177,1.0,1.49e-05
