Category,Model,n,PE_all_6h,PE_all_std,PE_storm_6h,PE_storm_std,PE_hi,RMSE,PE_45m,PE_12h
Multi-seed,transformer,3,0.6475,0.0253,0.6118,0.0343,0.7171,0.2590,-0.1528,0.7293
Multi-seed,storm_bz,3,0.6686,0.0245,0.6737,0.0140,0.7450,0.2511,0.3373,0.7419
Multi-seed,storm_cathode,3,0.6638,0.0100,0.6390,0.0304,0.7096,0.2530,0.3389,0.7394
Multi-seed,storm_cathode_spec,3,0.6661,0.0159,0.6549,0.0171,0.7324,0.2521,0.3376,0.7316
Multi-seed,storm_radiotrophic,3,0.6563,0.0017,0.6396,0.0025,0.7199,0.2559,0.3357,0.7304
Ablation-multi,storm_no_delay,3,0.6719,0.0183,0.6435,0.0124,0.7173,0.2499,0.3776,0.7441
Ablation-multi,storm_no_physics,3,0.6768,0.0156,0.6509,0.0236,0.7187,0.2480,0.3560,0.7440
